Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	#ofTools	genome_name
NODE_31_length_43527_cov_41.610507_21	-	GT4(191-324)	GT4_e1113	GT4	3	CM01_24_S247
NODE_35_length_34576_cov_35.426892_32	2.4.1.21:9	GT5(81-554)	GT5_e9	GT5	3	CM01_24_S247
NODE_36_length_31749_cov_56.802321_8	-	GT2(8-172)	GT2	GT2	3	CM01_24_S247
NODE_37_length_24174_cov_41.705992_7	2.4.1.1:158	GT35(95-814)	GT35_e0	GT35	3	CM01_24_S247
NODE_3_length_143796_cov_58.715206_25	-	GT2(3-164)	GT2	GT2	3	CM01_24_S247
NODE_40_length_11708_cov_51.058371_7	1.1.3.38:1	AA4(11-238)	AA4_e0	-	2	CM01_24_S247
NODE_4_length_140892_cov_51.654133_107	3.2.1.80:1|3.2.1.80:1|3.2.1.80:1	CBM66(50-216)+GH32(344-648)+CBM66(914-1076)	CBM66_e1+GH32_e42+CBM66_e1	CBM66+GH32	3	CM01_24_S247
NODE_4_length_140892_cov_51.654133_43	3.2.1.-:2	GH13_20(30-319)	GH13_e141	GH13	3	CM01_24_S247
NODE_5_length_137621_cov_37.526154_82	-	GH109(5-142)	-	-	1	CM01_24_S247
NODE_7_length_121690_cov_47.996833_100	2.4.1.25:3	GH77(150-458)	GH77_e1	GH77	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_28	-	GT2(4-112)	GT2	GT2	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_36	-	GT2(7-143)	GT2	GT2	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_41	-	GT2(14-181)	GT2	GT2	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_42	-	GT2(6-149)	GT2	GT2	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_53	-	GT113(12-356)	GT113_e9	GT113	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_54	-	GT2(6-145)	GT2	-	2	CM01_24_S247
NODE_7_length_121690_cov_47.996833_55	-	GT2(3-151)	GT2	-	2	CM01_24_S247
NODE_7_length_121690_cov_47.996833_57	-	GT4(282-420)	GT4_e2463	GT4	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_68	-	GT2(6-134)	GT2	GT2	3	CM01_24_S247
NODE_7_length_121690_cov_47.996833_75	-	AA7(43-237)	AA4_e1	-	2	CM01_24_S247
NODE_8_length_111209_cov_42.114861_104	-	GH32(37-347)	GH32_e67	GH32	3	CM01_24_S247
NODE_8_length_111209_cov_42.114861_15	-	CE4(45-174)	CE4_e225	CE4	3	CM01_24_S247
NODE_8_length_111209_cov_42.114861_22	-	CE4(51-173)	CE4_e137	CE4	3	CM01_24_S247
NODE_8_length_111209_cov_42.114861_23	-	CE9(3-367)	CE9_e44	CE9	3	CM01_24_S247
NODE_8_length_111209_cov_42.114861_6	-	GT51(82-264)	GT51_e43	GT51	3	CM01_24_S247
NODE_8_length_111209_cov_42.114861_79	-	GH109(3-156)	-	-	1	CM01_24_S247
NODE_8_length_111209_cov_42.114861_91	-	GH109(2-144)	GH109_e2	-	2	CM01_24_S247
NODE_9_length_110558_cov_40.183055_24	-	-	GH23_e928	GH23	2	CM01_24_S247
NODE_20_length_69687_cov_30.857936_44	-	-	GH73_e261	GH73	2	CM01_24_S247
NODE_18_length_74739_cov_56.338484_9	-	-	CBM50_e393	CBM50	2	CM01_24_S247
NODE_21_length_67499_cov_30.303405_33	-	-	GT2	GT2	2	CM01_24_S247
NODE_26_length_56464_cov_57.462573_51	-	-	CBM50_e564	CBM50	2	CM01_24_S247
NODE_5_length_137621_cov_37.526154_31	-	-	GH23_e928	GH23	2	CM01_24_S247
NODE_7_length_121690_cov_47.996833_58	2.4.1.-:1	-	GT4_e510	GT4	2	CM01_24_S247
NODE_1_length_156377_cov_36.153082_45	-	-	-	GH5_11	1	CM01_24_S247
NODE_1_length_156377_cov_36.153082_81	-	-	-	GT4	1	CM01_24_S247
NODE_2_length_146493_cov_54.440908_29	-	-	-	GT58	1	CM01_24_S247
NODE_2_length_146493_cov_54.440908_87	-	-	-	GH38	1	CM01_24_S247
NODE_2_length_146493_cov_54.440908_90	-	-	-	GH1	1	CM01_24_S247
NODE_3_length_143796_cov_58.715206_132	-	-	-	GH28	1	CM01_24_S247
NODE_4_length_140892_cov_51.654133_33	-	-	-	GH0	1	CM01_24_S247
NODE_4_length_140892_cov_51.654133_96	-	-	-	GH23	1	CM01_24_S247
NODE_8_length_111209_cov_42.114861_63	-	-	-	GH1	1	CM01_24_S247
NODE_8_length_111209_cov_42.114861_105	-	-	-	GH13_31	1	CM01_24_S247
NODE_11_length_102475_cov_43.306562_35	-	-	-	CBM48+GH13_9	1	CM01_24_S247
NODE_12_length_98220_cov_44.835136_37	-	-	-	GT4	1	CM01_24_S247
NODE_12_length_98220_cov_44.835136_81	-	-	-	GH2	1	CM01_24_S247
NODE_13_length_92606_cov_59.695682_8	-	-	-	GH84	1	CM01_24_S247
NODE_13_length_92606_cov_59.695682_10	-	-	-	GH36	1	CM01_24_S247
NODE_13_length_92606_cov_59.695682_67	-	-	-	GH130	1	CM01_24_S247
NODE_14_length_88130_cov_46.685318_45	-	-	-	GH1	1	CM01_24_S247
NODE_15_length_81695_cov_41.156348_21	-	-	-	GT1	1	CM01_24_S247
NODE_15_length_81695_cov_41.156348_39	-	-	-	GH13	1	CM01_24_S247
NODE_15_length_81695_cov_41.156348_43	-	-	-	CE8	1	CM01_24_S247
NODE_15_length_81695_cov_41.156348_46	-	-	-	GT4	1	CM01_24_S247
NODE_16_length_79125_cov_32.790830_25	-	-	-	GH28	1	CM01_24_S247
NODE_17_length_77177_cov_59.487554_32	-	-	-	GH4	1	CM01_24_S247
NODE_18_length_74739_cov_56.338484_52	-	-	-	GH13_30	1	CM01_24_S247
NODE_19_length_70727_cov_49.515411_67	-	-	-	GT58	1	CM01_24_S247
NODE_20_length_69687_cov_30.857936_39	-	-	-	CBM50	1	CM01_24_S247
NODE_20_length_69687_cov_30.857936_43	-	-	-	GH28	1	CM01_24_S247
NODE_21_length_67499_cov_30.303405_56	-	-	-	GT2	1	CM01_24_S247
NODE_22_length_65812_cov_45.705854_12	-	-	-	GT83	1	CM01_24_S247
NODE_29_length_49753_cov_56.080139_9	-	-	-	GT2	1	CM01_24_S247
NODE_32_length_37713_cov_30.464375_25	-	-	-	GT83	1	CM01_24_S247
NODE_32_length_37713_cov_30.464375_27	-	-	-	GH13_11	1	CM01_24_S247
NODE_33_length_37344_cov_54.869065_43	-	-	-	GH13_31	1	CM01_24_S247
NODE_34_length_36293_cov_37.218935_22	-	-	-	GT2	1	CM01_24_S247
NODE_35_length_34576_cov_35.426892_22	-	-	-	GH28	1	CM01_24_S247
NODE_36_length_31749_cov_56.802321_1	-	-	-	GT2	1	CM01_24_S247
NODE_10_length_109374_cov_32.405750_26	-	GH109(5-142)	-	-	1	CM02_14_S245
NODE_10_length_109374_cov_32.405750_90	3.2.1.89:17|3.2.1.89:17	GH53(64-320)+GH53(408-798)	GH53_e14+GH53_e14	GH53	3	CM02_14_S245
NODE_10_length_109374_cov_32.405750_91	3.2.1.89:17|3.2.1.89:17	GH53(63-318)+GH53(406-795)	GH53_e14+GH53_e14	GH53	3	CM02_14_S245
NODE_12_length_84666_cov_38.798933_8	3.2.1.80:1|3.2.1.80:1|3.2.1.80:1	CBM66(50-216)+GH32(344-648)+CBM66(914-1076)	CBM66_e1+GH32_e42+CBM66_e1	CBM66+GH32	3	CM02_14_S245
NODE_14_length_73639_cov_48.472018_42	-	GT51(83-260)	GT51_e21	GT51	3	CM02_14_S245
NODE_16_length_68937_cov_22.275018_14	-	AA7(48-237)	-	-	1	CM02_14_S245
NODE_18_length_66390_cov_37.706065_19	2.4.1.25:3	GH77(150-458)	GH77_e1	GH77	3	CM02_14_S245
NODE_18_length_66390_cov_37.706065_44	-	AA7(43-237)	AA4_e1	-	2	CM02_14_S245
NODE_18_length_66390_cov_37.706065_5	1.1.3.38:1	AA4(11-238)	AA4_e0	-	2	CM02_14_S245
NODE_18_length_66390_cov_37.706065_51	-	GT2(6-134)	GT2	GT2	3	CM02_14_S245
NODE_18_length_66390_cov_37.706065_59	-	GT4(222-362)	GT4_e554	GT4	3	CM02_14_S245
NODE_18_length_66390_cov_37.706065_60	-	GT2(8-150)	GT2	-	2	CM02_14_S245
NODE_18_length_66390_cov_37.706065_63	-	GT2(5-143)	GT2	-	2	CM02_14_S245
NODE_19_length_66204_cov_40.910816_58	3.2.1.-:2	GH13_20(30-319)	GH13_e141	GH13	3	CM02_14_S245
NODE_1_length_478912_cov_33.198012_172	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	GH1(7-479)	GH1_e115	GH1	3	CM02_14_S245
NODE_1_length_478912_cov_33.198012_4	-	GH109(2-142)	-	-	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_54	2.4.1.18:57|2.4.1.18:14	CBM48(25-105)+GH13_9(176-477)	CBM48_e2+GH13_e200	CBM48+GH13_9	3	CM02_14_S245
NODE_1_length_478912_cov_33.198012_57	-	GT5(8-478)	GT5_e1	GT5	3	CM02_14_S245
NODE_1_length_478912_cov_33.198012_58	2.4.1.1:158	GT35(94-809)	GT35_e0	GT35	3	CM02_14_S245
NODE_1_length_478912_cov_33.198012_59	-|-	GH13_39(187-518)	CBM34_e3+GH13_e89	GH13_39	3	CM02_14_S245
NODE_1_length_478912_cov_33.198012_97	2.4.1.1:158	GT35(95-814)	GT35_e0	GT35	3	CM02_14_S245
NODE_20_length_65111_cov_36.177921_18	-	GH25(50-227)	GH25_e110	GH25	3	CM02_14_S245
NODE_21_length_60681_cov_34.907620_20	-	GT2(6-149)	GT2	GT2	3	CM02_14_S245
NODE_21_length_60681_cov_34.907620_21	-	GT2(14-181)	GT2	GT2	3	CM02_14_S245
NODE_21_length_60681_cov_34.907620_26	-	GT2(7-143)	GT2	GT2	3	CM02_14_S245
NODE_21_length_60681_cov_34.907620_34	-	GT2(4-112)	GT2	GT2	3	CM02_14_S245
NODE_22_length_57193_cov_35.903393_1	-	GH73(268-428)	GH73_e132	GH73	3	CM02_14_S245
NODE_23_length_56417_cov_46.896305_13	-	GT28(188-337)	GT28_e30	GT28	3	CM02_14_S245
NODE_23_length_56417_cov_46.896305_9	-	CE4(81-203)	CE4_e82	CE4	3	CM02_14_S245
NODE_25_length_53488_cov_36.278199_17	3.2.1.26:3	GH32(37-339)	GH32_e76	GH32	3	CM02_14_S245
NODE_25_length_53488_cov_36.278199_19	-	GH32(6-294)	GH32_e121	GH32	3	CM02_14_S245
NODE_26_length_50731_cov_45.758833_10	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM02_14_S245
NODE_26_length_50731_cov_45.758833_15	3.2.1.122:13	GH4(8-184)	GH4_e4	GH4	3	CM02_14_S245
NODE_26_length_50731_cov_45.758833_29	3.2.1.122:13	GH4(6-184)	GH4_e4	GH4	3	CM02_14_S245
NODE_26_length_50731_cov_45.758833_30	3.2.1.86:16	GH4(6-180)	GH4_e24	GH4	3	CM02_14_S245
NODE_28_length_44461_cov_30.023368_1	2.4.1.21:9	GT5(81-554)	GT5_e9	GT5	3	CM02_14_S245
NODE_2_length_222419_cov_45.000270_159	2.4.1.18:14	GH13_9(164-453)	GH13_e200	CBM48+GH13_9	3	CM02_14_S245
NODE_2_length_222419_cov_45.000270_16	-	GT2(8-172)	GT2	GT2	3	CM02_14_S245
NODE_31_length_41188_cov_28.616010_19	-	GT2(5-108)	GT2	GT2	3	CM02_14_S245
NODE_33_length_36363_cov_48.081162_1	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(29-377)	GH13_e122	GH13_31	3	CM02_14_S245
NODE_35_length_33075_cov_32.819686_10	-	GT4(212-357)	GT4_e224	GT4	3	CM02_14_S245
NODE_35_length_33075_cov_32.819686_6	-	GT4(201-352)	GT4_e1790	GT4	3	CM02_14_S245
NODE_35_length_33075_cov_32.819686_8	-	GT4(231-373)	GT4_e45	GT4	3	CM02_14_S245
NODE_37_length_32771_cov_35.075665_11	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(191-552)	CBM48_e3+GH13_e48	CBM48+GH13_11	3	CM02_14_S245
NODE_37_length_32771_cov_35.075665_23	-	GH38(4-262)	GH38_e1	GH38	3	CM02_14_S245
NODE_43_length_24872_cov_35.707941_1	-	GT2(8-154)	GT2	-	2	CM02_14_S245
NODE_43_length_24872_cov_35.707941_11	-	GT2(8-115)	GT2	GT2	3	CM02_14_S245
NODE_43_length_24872_cov_35.707941_12	-	GT4(193-300)	GT4_e150	GT4	3	CM02_14_S245
NODE_43_length_24872_cov_35.707941_13	-	GT4(193-338)	GT4_e3212	GT4	3	CM02_14_S245
NODE_43_length_24872_cov_35.707941_20	-	GH3(116-346)	GH3_e215	GH3	3	CM02_14_S245
NODE_43_length_24872_cov_35.707941_3	-	GT4(225-363)	GT4_e3683	-	2	CM02_14_S245
NODE_43_length_24872_cov_35.707941_4	-	GT4(227-374)	GT4_e2394	GT4	3	CM02_14_S245
NODE_43_length_24872_cov_35.707941_6	2.4.1.-:1	GT2(7-131)	GT2	-	2	CM02_14_S245
NODE_43_length_24872_cov_35.707941_7	-	GT32(20-97)	GT32_e192	-	2	CM02_14_S245
NODE_43_length_24872_cov_35.707941_8	-	GT4(220-364)	GT4_e134	GT4	3	CM02_14_S245
NODE_43_length_24872_cov_35.707941_9	-	GT8(4-265)	GT8_e37	-	2	CM02_14_S245
NODE_44_length_18915_cov_33.326485_18	-	GH32(37-347)	GH32_e67	GH32	3	CM02_14_S245
NODE_48_length_10671_cov_21.752181_5	-	GH73(307-468)	GH73_e132	-	2	CM02_14_S245
NODE_4_length_185491_cov_46.526467_70	-|-	CBM51(36-187)+CBM32(864-977)	CBM51_e20+CBM32_e62	CBM32+CBM51	3	CM02_14_S245
NODE_4_length_185491_cov_46.526467_80	-	CE4(79-190)	CE4_e246	CE4	3	CM02_14_S245
NODE_5_length_139873_cov_47.550620_125	-	GT2(3-164)	GT2	GT2	3	CM02_14_S245
NODE_6_length_132361_cov_34.323699_116	-	CE9(46-410)	CE9_e44	CE9	3	CM02_14_S245
NODE_6_length_132361_cov_34.323699_117	-	CE4(51-174)	CE4_e137	CE4	3	CM02_14_S245
NODE_6_length_132361_cov_34.323699_124	-	CE4(45-174)	CE4_e225	CE4	3	CM02_14_S245
NODE_6_length_132361_cov_34.323699_13	-	GH109(2-144)	GH109_e2	-	2	CM02_14_S245
NODE_6_length_132361_cov_34.323699_133	-	GT51(82-264)	GT51_e43	GT51	3	CM02_14_S245
NODE_6_length_132361_cov_34.323699_25	-	GH109(3-156)	-	-	1	CM02_14_S245
NODE_8_length_112767_cov_21.275400_57	-	GT51(59-236)	GT51_e21	GT51	3	CM02_14_S245
NODE_9_length_110230_cov_38.583844_88	-	GH25(51-234)	GH25_e171	GH25	3	CM02_14_S245
NODE_18_length_66390_cov_37.706065_58	2.4.1.-:1	-	GT4_e510	GT4	2	CM02_14_S245
NODE_27_length_50557_cov_26.251101_15	-	-	GH73_e261	GH73	2	CM02_14_S245
NODE_4_length_185491_cov_46.526467_98	-	-	CBM50_e393	CBM50	2	CM02_14_S245
NODE_6_length_132361_cov_34.323699_63	-	-	GH23_e21	GH23	2	CM02_14_S245
NODE_8_length_112767_cov_21.275400_28	-	-	CBM13_e31	-	1	CM02_14_S245
NODE_23_length_56417_cov_46.896305_3	-	-	CBM50_e564	CBM50	2	CM02_14_S245
NODE_13_length_83655_cov_27.454399_51	-	-	GT2	GT2	2	CM02_14_S245
NODE_15_length_70642_cov_27.689116_14	-	-	GH23_e21	GH23	2	CM02_14_S245
NODE_16_length_68937_cov_22.275018_51	-	-	GH73_e261	-	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_200	-	-	GH23_e928	GH23	2	CM02_14_S245
NODE_2_length_222419_cov_45.000270_226	-	-	GH23_e928	GH23	2	CM02_14_S245
NODE_1_length_478912_cov_33.198012_55	-	-	-	CBM48+GH13_9	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_147	-	-	-	GT4	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_150	-	-	-	CE8	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_154	-	-	-	GH13	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_173	-	-	-	GT1	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_183	-	-	-	GH23	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_348	-	-	-	GH5_11	1	CM02_14_S245
NODE_1_length_478912_cov_33.198012_384	-	-	-	GT4	1	CM02_14_S245
NODE_2_length_222419_cov_45.000270_32	-	-	-	GT2	1	CM02_14_S245
NODE_2_length_222419_cov_45.000270_150	-	-	-	GH13_31	1	CM02_14_S245
NODE_4_length_185491_cov_46.526467_56	-	-	-	GH13_30	1	CM02_14_S245
NODE_4_length_185491_cov_46.526467_138	-	-	-	GT2	1	CM02_14_S245
NODE_5_length_139873_cov_47.550620_9	-	-	-	GH28	1	CM02_14_S245
NODE_6_length_132361_cov_34.323699_41	-	-	-	GH1	1	CM02_14_S245
NODE_9_length_110230_cov_38.583844_10	-	-	-	GT58	1	CM02_14_S245
NODE_9_length_110230_cov_38.583844_53	-	-	-	GT58	1	CM02_14_S245
NODE_11_length_92054_cov_23.118594_73	-	-	-	GT83	1	CM02_14_S245
NODE_11_length_92054_cov_23.118594_75	-	-	-	GH13_11	1	CM02_14_S245
NODE_12_length_84666_cov_38.798933_19	-	-	-	GH23	1	CM02_14_S245
NODE_13_length_83655_cov_27.454399_74	-	-	-	GT2	1	CM02_14_S245
NODE_14_length_73639_cov_48.472018_8	-	-	-	GH130	1	CM02_14_S245
NODE_14_length_73639_cov_48.472018_65	-	-	-	GH36	1	CM02_14_S245
NODE_14_length_73639_cov_48.472018_67	-	-	-	GH84	1	CM02_14_S245
NODE_15_length_70642_cov_27.689116_15	-	-	-	GH23	1	CM02_14_S245
NODE_17_length_67041_cov_45.052650_28	-	-	-	GH38	1	CM02_14_S245
NODE_17_length_67041_cov_45.052650_40	-	-	-	GH1	1	CM02_14_S245
NODE_19_length_66204_cov_40.910816_47	-	-	-	GH0	1	CM02_14_S245
NODE_20_length_65111_cov_36.177921_38	-	-	-	GH1	1	CM02_14_S245
NODE_22_length_57193_cov_35.903393_36	-	-	-	GT4	1	CM02_14_S245
NODE_26_length_50731_cov_45.758833_9	-	-	-	GH4	1	CM02_14_S245
NODE_27_length_50557_cov_26.251101_16	-	-	-	GH28	1	CM02_14_S245
NODE_28_length_44461_cov_30.023368_22	-	-	-	GH28	1	CM02_14_S245
NODE_30_length_43322_cov_31.305290_15	-	-	-	GT2	1	CM02_14_S245
NODE_31_length_41188_cov_28.616010_16	-	-	-	GH28	1	CM02_14_S245
NODE_35_length_33075_cov_32.819686_7	-	-	-	GT4	1	CM02_14_S245
NODE_37_length_32771_cov_35.075665_8	-	-	-	GT83	1	CM02_14_S245
NODE_44_length_18915_cov_33.326485_17	-	-	-	GH13_31	1	CM02_14_S245
NODE_10_length_109154_cov_34.807461_61	-	GH109(1-151)	GH109_e7	-	2	CM02_2_S14
NODE_10_length_109154_cov_34.807461_68	-	GH32(37-347)	GH32_e67	GH32	3	CM02_2_S14
NODE_10_length_109154_cov_34.807461_95	-	GT4(218-373)	GT4_e1803	GT4	3	CM02_2_S14
NODE_10_length_109154_cov_34.807461_97	-	GT4(196-345)	GT4_e2644	GT4	3	CM02_2_S14
NODE_11_length_103019_cov_35.717383_4	-	GH109(2-142)	-	-	1	CM02_2_S14
NODE_11_length_103019_cov_35.717383_55	2.4.1.18:57|2.4.1.18:14	CBM48(25-105)+GH13_9(176-477)	CBM48_e2+GH13_e200	CBM48+GH13_9	3	CM02_2_S14
NODE_11_length_103019_cov_35.717383_58	-	GT5(8-478)	GT5_e1	GT5	3	CM02_2_S14
NODE_11_length_103019_cov_35.717383_59	2.4.1.1:158	GT35(94-809)	GT35_e0	GT35	3	CM02_2_S14
NODE_11_length_103019_cov_35.717383_60	-|-	GH13_39(187-518)	CBM34_e3+GH13_e89	GH13_39	3	CM02_2_S14
NODE_12_length_96546_cov_43.357513_55	2.4.1.18:14	GH13_9(164-453)	GH13_e200	CBM48+GH13_9	3	CM02_2_S14
NODE_13_length_92494_cov_50.437364_95	-	GT28(188-337)	GT28_e30	GT28	3	CM02_2_S14
NODE_13_length_92494_cov_50.437364_99	-	CE4(93-215)	CE4_e82	CE4	3	CM02_2_S14
NODE_14_length_89729_cov_34.123624_29	3.2.1.89:17|3.2.1.89:17	GH53(64-316)+GH53(404-794)	GH53_e14+GH53_e14	GH53	3	CM02_2_S14
NODE_14_length_89729_cov_34.123624_30	3.2.1.89:17|3.2.1.89:17	GH53(63-318)+GH53(406-795)	GH53_e14+GH53_e14	GH53	3	CM02_2_S14
NODE_14_length_89729_cov_34.123624_48	-	GT51(82-264)	GT51_e43	GT51	3	CM02_2_S14
NODE_14_length_89729_cov_34.123624_57	-	CE4(46-174)	CE4_e225	CE4	3	CM02_2_S14
NODE_14_length_89729_cov_34.123624_64	-	CE4(51-173)	CE4_e137	CE4	3	CM02_2_S14
NODE_14_length_89729_cov_34.123624_65	-	CE9(3-367)	CE9_e44	CE9	3	CM02_2_S14
NODE_15_length_86624_cov_28.406465_29	-	GT2(5-108)	GT2	GT2	3	CM02_2_S14
NODE_17_length_80532_cov_40.068615_35	3.2.1.-:2	GH13_20(30-319)	GH13_e141	GH13	3	CM02_2_S14
NODE_18_length_80387_cov_37.223150_16	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(191-552)	CBM48_e3+GH13_e48	CBM48+GH13_11	3	CM02_2_S14
NODE_18_length_80387_cov_37.223150_43	3.2.1.26:3	GH32(37-339)	GH32_e76	GH32	3	CM02_2_S14
NODE_18_length_80387_cov_37.223150_45	-	GH32(6-294)	GH32_e121	GH32	3	CM02_2_S14
NODE_1_length_204479_cov_33.510859_148	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	GH1(7-479)	GH1_e115	GH1	3	CM02_2_S14
NODE_20_length_58482_cov_49.518036_28	-	GT2(3-164)	GT2	GT2	3	CM02_2_S14
NODE_22_length_57526_cov_36.762574_4	3.2.1.23:11	GH2(22-629)	GH2_e13	GH2	3	CM02_2_S14
NODE_22_length_57526_cov_36.762574_53	-	GH73(268-428)	GH73_e132	GH73	3	CM02_2_S14
NODE_23_length_52828_cov_26.941690_46	-	GT51(65-238)	GT51_e21	GT51	3	CM02_2_S14
