COG20_FUNCTION	n	cat
Stage II sporulation protein SpoIIAA (antagonist of anti-sigma F factor) (SpoIIAA) (PDB:1BUZ) (PUBMED:6088674;1629150;8358793;7751305;9560229)	126	spor
Stage II sporulation protein SpoIIE/SpoIIH (serine phosphatase - sigma-F activation) (SpoIIE) (PDB:3T91) (PUBMED:7584024;8830262;2832371;8113187;7570023)	125	spor
"Stage II sporulation protein SpoIIGA (protease, processing of pro-sigma-E to active sigma-E) (SpoIIGA) (PUBMED:18378688;21362630)"	126	spor
"Stage II sporulation protein SpoIIP, required for dissolution of the septal cell wall (SpoIIP)"	126	spor
"Stage II sporulation protein SpoIIR, required for processing of pro-sigma-E (SpoIIR) (PUBMED:7892217;24098137)"	126	spor
Stage III sporulation protein SpoIIIAA (SpoIIIAA)	125	rem
"Stage III sporulation protein SpoIIIAB, component of the engulfment complex (SpoIIIAB) (PDB:6BS9) (PUBMED:1766372)"	124	spor
"Stage III sporulation protein SpoIIIAC, component of the engulfment complex (SpoIIIAC)"	109	spor
"Stage III sporulation protein SpoIIIAD, component of the engulfment complex (SpoIIIAD)"	111	spor
"Stage III sporulation protein SpoIIIAE, component of the engulfment complex (SpoIIIAE) (PUBMED:18820020)"	124	spor
"Stage III sporulation protein SpoIIIAG, component of the engulfment complex (SpoIIIAG)"	124	spor
"Stage III sporulation protein SpoIIIAH, component of the engulfment complex (SpoIIIAH) (PDB:3TUF) (PUBMED:18485064;18812514)"	123	spor
"Stage III sporulation protein SpoIIID, transcriptional regulator of sigma-E- and sigma-K-dependent genes (SpoIIID) (PDB:2L0K) (PUBMED:16707683)"	122	spor
"Stage IV sporulation protein SpoIVA, required for spore cortex formation and coat assembly (SpoIVA) (PUBMED:19775244;23267091)"	125	spor
"Stage IV sporulation protein SpoIVB, serine protease, degrades SpoIIQ, SpoIVFA (SpoIVB) (PUBMED:12940997;15292188)"	125	spor
Stage IV sporulation protein YqfD (YqfD)	126	rem
"Stage V sporulation protein SpoVAA, subunit of dipicolinate uptake complex (SpoVAA)"	125	spor
"Stage V sporulation protein SpoVAB, subunit of dipicolinate uptake complex (SpoVAB)"	125	spor
"Stage V sporulation protein SpoVAC, subunit of dipicolinate uptake complex (SpoVAC)"	125	spor
"Stage V sporulation protein SpoVAD, subunit of dipicolinate uptake complex (SpoVAD) (PDB:3LM6)"	125	spor
"Stage V sporulation protein SpoVAEB, subunit of dipicolinate uptake complex (SpoVAEB)"	125	rem
"Stage V sporulation protein SpoVB/SpoIIIF, required for spore cortex synthesis (SpoVB) (PUBMED:1744050)"	126	rem
"Stage V sporulation protein SpoVT, regulator of stationary/sporulation gene expression (SpoVT) (PDB:2RO5) (PUBMED:19000822;18996130)"	126	rem
Uncharacterized spore protein YtfJ (YtfJ)	124	rem
"Uncharacterized sporulation membrane protein YrzE, contains DUF3792 domain (YrzE)"	124	rem
"Uncharacterized sporulation protein YyaC,contains DUF1256 domain (YyaC) (PUBMED:1552862;7584024)"	124	rem
"Uncharacterized sporulation proteins YjcM and YhbB, contain C-terminal amidase domain (YhbB)"	23	rem
